last_name, first_name,year,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Pujols, Albert,2019,23,0.244,0.253,0.433,0.322,0.317,0.180,88.3,12.6,
Cabrera, Miguel,2019,12,0.282,0.272,0.443,0.336,0.340,0.171,90.3,12.3,
Mathis, Jeff,2019,2,0.158,0.163,0.225,0.196,0.214,0.062,86.1,16.8,
Choo, Shin-Soo,2019,24,0.265,0.266,0.480,0.365,0.373,0.214,91.9,9.2,
Molina, Yadier,2019,10,0.270,0.273,0.444,0.328,0.319,0.171,87.4,13.9,
Cano, Robinson,2019,13,0.256,0.283,0.456,0.335,0.332,0.173,90.9,7.4,
Encarnacion, Edwin,2019,34,0.244,0.250,0.534,0.372,0.353,0.284,90.2,22.3,
Jones, Adam,2019,16,0.260,0.258,0.434,0.321,0.313,0.177,86.1,13.4,
Martin, Russell,2019,6,0.220,0.221,0.348,0.307,0.340,0.127,88.2,10.6,
Granderson, Curtis,2019,12,0.183,0.217,0.398,0.311,0.314,0.181,88.8,19.3,
Morales, Kendrys,2019,2,0.194,0.276,0.451,0.369,0.386,0.175,91.3,9.5,
Kendrick, Howie,2019,17,0.344,0.336,0.626,0.426,0.393,0.290,91.7,10.8,
Kinsler, Ian,2019,9,0.217,0.208,0.309,0.259,0.270,0.102,84.3,17.3,
McCann, Brian,2019,12,0.249,0.244,0.413,0.321,0.324,0.169,88.8,11.4,
Walker, Neil,2019,8,0.261,0.270,0.438,0.344,0.354,0.169,86.2,11.5,
Suzuki, Kurt,2019,17,0.264,0.283,0.467,0.346,0.343,0.184,86,18.9,
Desmond, Ian,2019,20,0.255,0.273,0.481,0.343,0.327,0.208,90.9,8.7,
Cruz, Nelson,2019,41,0.311,0.294,0.643,0.420,0.382,0.349,93.7,13.1,
Peralta, David,2019,12,0.275,0.251,0.385,0.308,0.322,0.134,90.1,6.4,
Pina, Manny,2019,7,0.228,0.228,0.412,0.311,0.314,0.184,88.6,16.2,
Jay, Jon,2019,0,0.267,0.252,0.326,0.276,0.297,0.074,83.1,5.8,
Prado, Martin,2019,2,0.233,0.255,0.341,0.276,0.288,0.086,87,8.3,
Duda, Lucas,2019,4,0.171,0.225,0.460,0.316,0.300,0.234,91.5,22.5,
Wieters, Matt,2019,11,0.214,0.221,0.409,0.290,0.274,0.188,88.8,13.8,
Longoria, Evan,2019,20,0.254,0.276,0.504,0.360,0.345,0.228,89.7,14,
Cozart, Zack,2019,0,0.124,0.211,0.279,0.252,0.267,0.068,85.9,21.6,
Rodriguez, Sean,2019,4,0.223,0.196,0.332,0.302,0.328,0.136,88.3,13.5,
Reynolds, Mark,2019,4,0.170,0.167,0.298,0.272,0.293,0.131,88.9,17.5,
Davis, Chris,2019,12,0.179,0.208,0.383,0.300,0.304,0.175,89.1,14.1,
Zobrist, Ben,2019,1,0.260,0.247,0.324,0.306,0.348,0.076,85.8,5.3,
Fowler, Dexter,2019,19,0.238,0.254,0.430,0.344,0.361,0.176,85.5,12.9,
Flowers, Tyler,2019,11,0.229,0.199,0.384,0.292,0.294,0.185,90.1,11.1,
Pence, Hunter,2019,18,0.297,0.281,0.506,0.359,0.344,0.225,91.4,10.1,
Cabrera, Asdrubal,2019,18,0.260,0.241,0.418,0.323,0.329,0.177,89.1,14.4,
Blackmon, Charlie,2019,32,0.314,0.301,0.532,0.373,0.354,0.232,88.7,14.5,
Frazier, Todd,2019,21,0.251,0.238,0.411,0.316,0.317,0.174,88.2,17.3,
Iannetta, Chris,2019,6,0.222,0.234,0.424,0.319,0.324,0.190,92.1,8.7,
Maldonado, Martin,2019,12,0.213,0.217,0.391,0.301,0.299,0.174,88.1,12.6,
Chirinos, Robinson,2019,17,0.238,0.216,0.405,0.321,0.332,0.189,87,16.9,
Markakis, Nick,2019,9,0.285,0.302,0.438,0.356,0.375,0.136,91.2,7.3,
Castillo, Welington,2019,12,0.209,0.218,0.427,0.300,0.277,0.209,89.5,13.2,
Nunez, Eduardo,2019,2,0.228,0.250,0.322,0.256,0.265,0.072,88.1,5.9,
Cain, Lorenzo,2019,11,0.260,0.292,0.422,0.340,0.355,0.130,89.4,6.6,
Solano, Donovan,2019,4,0.330,0.321,0.463,0.351,0.353,0.142,87,14.5,
McCutchen, Andrew,2019,10,0.256,0.259,0.456,0.364,0.380,0.197,90.6,12.7,
Upton, Justin,2019,12,0.215,0.219,0.426,0.319,0.315,0.207,87.2,18.5,
Maybin, Cameron,2019,11,0.285,0.257,0.463,0.344,0.340,0.206,89.4,11.8,
Turner, Justin,2019,27,0.290,0.290,0.524,0.382,0.375,0.235,90.3,17.8,
Posey, Buster,2019,7,0.257,0.254,0.423,0.320,0.317,0.169,88.6,9.1,
Bruce, Jay,2019,26,0.216,0.251,0.559,0.352,0.296,0.308,90.2,21.4,
Votto, Joey,2019,15,0.261,0.261,0.451,0.350,0.360,0.190,88.8,15.3,
Gardner, Brett,2019,28,0.251,0.241,0.375,0.306,0.320,0.134,87.7,13.9,
Joyce, Matt,2019,7,0.295,0.276,0.454,0.368,0.392,0.179,87.7,16.8,
Braun, Ryan,2019,22,0.285,0.271,0.482,0.347,0.331,0.212,91.4,7.1,
Gordon, Alex,2019,13,0.266,0.262,0.437,0.339,0.344,0.176,88.7,9.3,
Andrus, Elvis,2019,12,0.275,0.275,0.407,0.316,0.318,0.132,88.4,7.3,
Cervelli, Francisco,2019,3,0.213,0.211,0.364,0.292,0.300,0.153,86.9,12,
Cabrera, Melky,2019,7,0.280,0.281,0.381,0.300,0.314,0.100,88.2,9.1,
Sandoval, Pablo,2019,14,0.268,0.275,0.484,0.340,0.322,0.210,89.8,10.7,
Ramos, Wilson,2019,14,0.288,0.264,0.405,0.318,0.331,0.140,90,-0.1,
Santana, Carlos,2019,34,0.281,0.271,0.491,0.372,0.388,0.221,91.8,11.8,
Parra, Gerardo,2019,9,0.234,0.250,0.394,0.305,0.310,0.145,86.2,10,
Gonzalez, Carlos,2019,3,0.200,0.204,0.328,0.275,0.295,0.124,87.6,1.4,
Mercer, Jordy,2019,9,0.270,0.267,0.457,0.323,0.308,0.190,86.9,13.2,
Belt, Brandon,2019,17,0.234,0.244,0.465,0.350,0.351,0.221,87.3,22.4,
Alonso, Yonder,2019,10,0.199,0.232,0.380,0.308,0.327,0.148,88.1,14.1,
Smoak, Justin,2019,22,0.208,0.251,0.502,0.373,0.378,0.250,90.3,16.7,
Zimmerman, Ryan,2019,6,0.257,0.252,0.459,0.333,0.320,0.207,91.4,9.7,
Avila, Alex,2019,9,0.207,0.232,0.509,0.365,0.373,0.277,91.4,9.4,
Brantley, Michael,2019,22,0.311,0.301,0.485,0.365,0.366,0.184,88.9,10.7,
Castro, Jason,2019,13,0.232,0.250,0.526,0.368,0.349,0.276,91.8,14.4,
Gurriel, Yuli,2019,31,0.298,0.283,0.421,0.325,0.332,0.138,89.3,14.3,
Beckham, Gordon,2019,6,0.215,0.224,0.391,0.289,0.279,0.167,86.2,14.1,
Rodriguez, Ronny,2019,14,0.221,0.223,0.435,0.292,0.259,0.212,88.9,16.3,
Rojas, Miguel,2019,5,0.284,0.275,0.379,0.310,0.326,0.105,87.4,9.1,
Escobar, Eduardo,2019,35,0.269,0.259,0.473,0.332,0.315,0.215,87.7,18.4,
Martinez, Jose,2019,10,0.269,0.275,0.475,0.351,0.347,0.199,88.9,6.9,
Adrianza, Ehire,2019,5,0.272,0.272,0.404,0.334,0.353,0.133,86.6,14.9,
Lagares, Juan,2019,5,0.213,0.209,0.300,0.253,0.278,0.090,88.2,10.7,
Freese, David,2019,11,0.315,0.291,0.536,0.389,0.382,0.246,91.5,11,
Davis, Khris,2019,23,0.220,0.236,0.446,0.323,0.311,0.210,90.2,13,
Pham, Tommy,2019,21,0.273,0.282,0.473,0.366,0.377,0.191,90.9,5.2,
Martinez, J.D.,2019,36,0.304,0.306,0.578,0.402,0.388,0.272,91.3,12.4,
Reddick, Josh,2019,14,0.275,0.276,0.400,0.318,0.325,0.125,86.1,15.7,
