# time(seconds) Ndecays
0.000000000000000000e+00 3.080845200000000000e+07
6.250781347668458902e-08 2.922012200000000000e+07
1.250156269533691780e-07 2.756431200000000000e+07
1.875234404300537803e-07 2.585682900000000000e+07
2.500312539067383561e-07 2.408987800000000000e+07
3.125390673834229319e-07 2.230349000000000000e+07
3.750468808601075606e-07 2.050258700000000000e+07
4.375546943367921364e-07 1.869455800000000000e+07
5.000625078134767122e-07 1.689591500000000000e+07
5.625703212901613409e-07 1.513533100000000000e+07
6.250781347668458638e-07 1.340702500000000000e+07
6.875859482435304925e-07 1.173618500000000000e+07
7.500937617202151212e-07 1.013497100000000000e+07
8.126015751968996441e-07 8.619298000000000000e+06
8.751093886735842728e-07 7.192579000000000000e+06
9.376172021502687957e-07 5.866112000000000000e+06
1.000125015626953424e-06 4.654668000000000000e+06
1.062632829103638053e-06 3.571985000000000000e+06
1.125140642580322682e-06 2.619174000000000000e+06
1.187648456057007099e-06 1.804174000000000000e+06
1.250156269533691728e-06 1.135695000000000000e+06
1.312664083010376356e-06 6.209030000000000000e+05
1.375171896487060985e-06 2.565460000000000000e+05
1.437679709963745614e-06 5.086200000000000000e+04
1.500187523440430242e-06 3.118000000000000000e+03
1.562695336917114659e-06 1.130840000000000000e+05
1.625203150393799288e-06 3.793150000000000000e+05
1.687710963870483917e-06 8.005820000000000000e+05
1.750218777347168546e-06 1.371294000000000000e+06
1.812726590823853174e-06 2.086000000000000000e+06
1.875234404300537591e-06 2.940060000000000000e+06
1.937742217777222432e-06 3.924623000000000000e+06
2.000250031253906849e-06 5.039885000000000000e+06
2.062757844730591266e-06 6.261391000000000000e+06
2.125265658207276106e-06 7.589024000000000000e+06
2.187773471683960523e-06 9.002787000000000000e+06
2.250281285160645364e-06 1.050011600000000000e+07
2.312789098637329781e-06 1.207169000000000000e+07
2.375296912114014198e-06 1.369863400000000000e+07
2.437804725590699038e-06 1.536793100000000000e+07
2.500312539067383455e-06 1.705405500000000000e+07
2.562820352544068296e-06 1.876903000000000000e+07
2.625328166020752713e-06 2.047597600000000000e+07
2.687835979497437129e-06 2.215828200000000000e+07
2.750343792974121970e-06 2.383564600000000000e+07
2.812851606450806387e-06 2.546602400000000000e+07
2.875359419927491227e-06 2.702884200000000000e+07
2.937867233404175644e-06 2.853961100000000000e+07
3.000375046880860485e-06 2.996419800000000000e+07
3.062882860357544902e-06 3.130583200000000000e+07
3.125390673834229319e-06 3.253893400000000000e+07
3.187898487310914159e-06 3.365806100000000000e+07
3.250406300787598576e-06 3.466100300000000000e+07
3.312914114264283417e-06 3.553939000000000000e+07
3.375421927740967834e-06 3.627341800000000000e+07
3.437929741217652251e-06 3.687671000000000000e+07
3.500437554694337091e-06 3.732166500000000000e+07
3.562945368171021508e-06 3.761562100000000000e+07
3.625453181647706349e-06 3.777679400000000000e+07
3.687960995124390766e-06 3.777018900000000000e+07
3.750468808601075183e-06 3.761492000000000000e+07
3.812976622077760023e-06 3.730510800000000000e+07
3.875484435554444864e-06 3.684402800000000000e+07
3.937992249031128857e-06 3.625620300000000000e+07
4.000500062507813698e-06 3.551135500000000000e+07
4.063007875984498538e-06 3.463807400000000000e+07
4.125515689461182531e-06 3.364191900000000000e+07
4.188023502937867372e-06 3.252591700000000000e+07
4.250531316414552212e-06 3.129363000000000000e+07
4.313039129891237053e-06 2.996872900000000000e+07
4.375546943367921046e-06 2.855008100000000000e+07
4.438054756844605887e-06 2.705773300000000000e+07
4.500562570321290727e-06 2.549199900000000000e+07
4.563070383797974721e-06 2.389616400000000000e+07
4.625578197274659561e-06 2.223814100000000000e+07
4.688086010751344402e-06 2.056945900000000000e+07
4.750593824228028395e-06 1.887982800000000000e+07
