last_name, first_name,year,b_ab,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Pujols, Albert,2019,491,23,.244,.253,.433,.322,.317,.180,88.3,12.6,
Cabrera, Miguel,2019,493,12,.282,.272,.443,.336,.340,.171,90.3,12.3,
Mathis, Jeff,2019,228,2,.158,.163,.225,.196,.214,.062,86.1,16.8,
Choo, Shin-Soo,2019,563,24,.265,.266,.480,.365,.373,.214,91.9,9.2,
Molina, Yadier,2019,419,10,.270,.273,.444,.328,.319,.171,87.4,13.9,
Cano, Robinson,2019,390,13,.256,.283,.456,.335,.332,.173,90.9,7.4,
Encarnacion, Edwin,2019,418,34,.244,.250,.534,.372,.353,.284,90.2,22.3,
Jones, Adam,2019,485,16,.260,.258,.434,.321,.313,.177,86.1,13.4,
Martin, Russell,2019,209,6,.220,.221,.348,.307,.340,.127,88.2,10.6,
Granderson, Curtis,2019,317,12,.183,.217,.398,.311,.314,.181,88.8,19.3,
Morales, Kendrys,2019,170,2,.194,.276,.451,.369,.386,.175,91.3,9.5,
Kendrick, Howie,2019,334,17,.344,.336,.626,.426,.393,.290,91.7,10.8,
Kinsler, Ian,2019,258,9,.217,.208,.309,.259,.270,.102,84.3,17.3,
McCann, Brian,2019,277,12,.249,.244,.413,.321,.324,.169,88.8,11.4,
Walker, Neil,2019,337,8,.261,.270,.438,.344,.354,.169,86.2,11.5,
Suzuki, Kurt,2019,280,17,.264,.283,.467,.346,.343,.184,86,18.9,
Desmond, Ian,2019,443,20,.255,.273,.481,.343,.327,.208,90.9,8.7,
Cruz, Nelson,2019,454,41,.311,.294,.643,.420,.382,.349,93.7,13.1,
Peralta, David,2019,382,12,.275,.251,.385,.308,.322,.134,90.1,6.4,
Pina, Manny,2019,158,7,.228,.228,.412,.311,.314,.184,88.6,16.2,
Jay, Jon,2019,165,0,.267,.252,.326,.276,.297,.074,83.1,5.8,
Prado, Martin,2019,245,2,.233,.255,.341,.276,.288,.086,87,8.3,
Duda, Lucas,2019,105,4,.171,.225,.460,.316,.300,.234,91.5,22.5,
Wieters, Matt,2019,168,11,.214,.221,.409,.290,.274,.188,88.8,13.8,
Longoria, Evan,2019,453,20,.254,.276,.504,.360,.345,.228,89.7,14,
Cozart, Zack,2019,97,0,.124,.211,.279,.252,.267,.068,85.9,21.6,
Rodriguez, Sean,2019,112,4,.223,.196,.332,.302,.328,.136,88.3,13.5,
Reynolds, Mark,2019,135,4,.170,.167,.298,.272,.293,.131,88.9,17.5,
Davis, Chris,2019,307,12,.179,.208,.383,.300,.304,.175,89.1,14.1,
Zobrist, Ben,2019,150,1,.260,.247,.324,.306,.348,.076,85.8,5.3,
Fowler, Dexter,2019,487,19,.238,.254,.430,.344,.361,.176,85.5,12.9,
Flowers, Tyler,2019,271,11,.229,.199,.384,.292,.294,.185,90.1,11.1,
Pence, Hunter,2019,286,18,.297,.281,.506,.359,.344,.225,91.4,10.1,
Cabrera, Asdrubal,2019,447,18,.260,.241,.418,.323,.329,.177,89.1,14.4,
Blackmon, Charlie,2019,580,32,.314,.301,.532,.373,.354,.232,88.7,14.5,
Frazier, Todd,2019,447,21,.251,.238,.411,.316,.317,.174,88.2,17.3,
Iannetta, Chris,2019,144,6,.222,.234,.424,.319,.324,.190,92.1,8.7,
Maldonado, Martin,2019,333,12,.213,.217,.391,.301,.299,.174,88.1,12.6,
Chirinos, Robinson,2019,366,17,.238,.216,.405,.321,.332,.189,87,16.9,
Markakis, Nick,2019,414,9,.285,.302,.438,.356,.375,.136,91.2,7.3,
Castillo, Welington,2019,230,12,.209,.218,.427,.300,.277,.209,89.5,13.2,
Nunez, Eduardo,2019,167,2,.228,.250,.322,.256,.265,.072,88.1,5.9,
Cain, Lorenzo,2019,562,11,.260,.292,.422,.340,.355,.130,89.4,6.6,
Solano, Donovan,2019,215,4,.330,.321,.463,.351,.353,.142,87,14.5,
McCutchen, Andrew,2019,219,10,.256,.259,.456,.364,.380,.197,90.6,12.7,
Upton, Justin,2019,219,12,.215,.219,.426,.319,.315,.207,87.2,18.5,
Maybin, Cameron,2019,239,11,.285,.257,.463,.344,.340,.206,89.4,11.8,
Turner, Justin,2019,479,27,.290,.290,.524,.382,.375,.235,90.3,17.8,
Posey, Buster,2019,405,7,.257,.254,.423,.320,.317,.169,88.6,9.1,
Bruce, Jay,2019,310,26,.216,.251,.559,.352,.296,.308,90.2,21.4,
Votto, Joey,2019,525,15,.261,.261,.451,.350,.360,.190,88.8,15.3,
Gardner, Brett,2019,491,28,.251,.241,.375,.306,.320,.134,87.7,13.9,
Joyce, Matt,2019,200,7,.295,.276,.454,.368,.392,.179,87.7,16.8,
Braun, Ryan,2019,459,22,.285,.271,.482,.347,.331,.212,91.4,7.1,
Gordon, Alex,2019,556,13,.266,.262,.437,.339,.344,.176,88.7,9.3,
Andrus, Elvis,2019,600,12,.275,.275,.407,.316,.318,.132,88.4,7.3,
Cervelli, Francisco,2019,141,3,.213,.211,.364,.292,.300,.153,86.9,12,
Cabrera, Melky,2019,378,7,.280,.281,.381,.300,.314,.100,88.2,9.1,
Sandoval, Pablo,2019,272,14,.268,.275,.484,.340,.322,.210,89.8,10.7,
Ramos, Wilson,2019,473,14,.288,.264,.405,.318,.331,.140,90,-0.1,
Santana, Carlos,2019,573,34,.281,.271,.491,.372,.388,.221,91.8,11.8,
Parra, Gerardo,2019,274,9,.234,.250,.394,.305,.310,.145,86.2,10,
Gonzalez, Carlos,2019,145,3,.200,.204,.328,.275,.295,.124,87.6,1.4,
Mercer, Jordy,2019,256,9,.270,.267,.457,.323,.308,.190,86.9,13.2,
Belt, Brandon,2019,526,17,.234,.244,.465,.350,.351,.221,87.3,22.4,
Alonso, Yonder,2019,292,10,.199,.232,.380,.308,.327,.148,88.1,14.1,
Smoak, Justin,2019,414,22,.208,.251,.502,.373,.378,.250,90.3,16.7,
Zimmerman, Ryan,2019,171,6,.257,.252,.459,.333,.320,.207,91.4,9.7,
